id	name_eng	titolo_eng	name_ita	desc_ita
0	Absence	A generalized seizure type. Use of term discouraged when describing EEG patterns. Terms suggested, whenever appropriate: spike-and-slow-wave complex, 3 c/s spike-and-slow-wave complex, sharp-and-slow wave complex.	Assenza	Un tipo di crisi generalizzata. L'uso di questo termine è sconsigliato per descrivere i pattern EEG per i quali è preferibile utilizzare, se appropriata, una delle seguenti (diciture): complesso di punta-onda-lenta, complesso punta-onda-lenta a 3 Hz, complesso onda puntuta-onda lenta.
1	Activation procedure	Any procedure designed to modulate EEG activity, for instance to enhance physiological waveforms or elicit abnormal paroxysmal activity. Examples include: eye closing, hyperventilation, photic stimulation, natural or drug-induced sleep, sensory stimulation (acoustic, somatosensory or pain).	Prova di attivazione	Qualsiasi procedura finalizzata a modulare l'attività EEG, potenziando per esempio l'attività fisiologica o favorendo la comparsa di un'attività parossistica anormale. Esempi: chiusura degli occhi, iperventilazione, stimolazione luminosa, sonno naturale o farmaco-indotto, stimolazione sensoriale (acustica, tattile o dolorosa).
2	Active sleep	Normal sleep stage in neonates characterized by eye closure, intermittent periods of rapid eye movements, irregular respirations and scant body movements. The EEG shows activité moyenne in term and near term infants, and tracé discontinue (discontinuous pattern) in preterm infants <34 weeks of post menstrual age (PMA); the inter-burst interval depends on the PMA. (See quiet sleep, activité moyenne, tracé discontinue, REM sleep).	Sonno attivo	Fase fisiologica del sonno nel neonato caratterizzata dalla chiusura degli occhi, periodi intermittenti di movimenti oculari rapidi, respiro irregolare e movimenti del corpo. L'EEG mostra “activité moyenne” (lett. attività intermedia; sin. attività a frequenze miste) nei neonati a termine e quasi a termine, e tracciato discontinuo (“tracé discontinu”) nei neonati pretermine con <34 settimane di età gestazionale (EG); l'intervallo inter-burst varia in base alla EG. (Vedi sonno quieto, activité moyenne, tracé discontinu, sonno REM).
3	Activity, EEG	An EEG wave or sequence of waves of cerebral origin.	Attività, EEG	Un'onda o una sequenza di onde EEG di origine cerebrale.
4	Activité moyenne	Neonatal EEG pattern of wakefulness and active sleep in term and near term infants characterized by continuous, low to medium amplitude mixed frequency activity (25–50 µV) with a predominance of theta and delta and overriding beta activity. Synonym: mixed frequency activity. (See active sleep).	Activité moyenne	Pattern EEG neonatale di veglia e di sonno attivo nei neonati a termine e quasi a termine, caratterizzato da un'attività continua con frequenze miste, di ampiezza da bassa a media (25-50 µV) con una predominanza dell'attività theta e delta e un'attività beta sovraimposta. Sinonimo: attività a frequenze miste o attività intermedia. (Vedi sonno attivo).
5	After-discharge	(1) EEG seizure pattern following single or repetitive electrical stimulation of a discrete area of the brain via cortical or intracerebral electrodes. (2) Burst of rhythmic activity following a transient such as an evoked potential or a spike.	After-discharge	(1) pattern EEG che compare in seguito a stimolazione elettrica, singola o ripetitiva, con elettrodi di superficie o intracerebrali, di un'area circoscritta del cervello; (2) burst di attività ritmica che compare dopo un transiente come un potenziale evocato o una punta.
6	Aliasing	Distortion of the EEG signal leading to misidentification of frequency, which occurs when the signal is sampled at less than twice the highest frequency present. The Nyquist theorem states that sampling rates should be at least twice the highest frequency, but accurate digitization of EEG signals requires even higher sampling rates. Comment: Distortion and aliasing can occur at the Nyquist theorem frequency (see Nyquist theorem, sampling rate).	Aliasing	Distorsione del segnale EEG che comporta un'errata valutazione della frequenza. Si verifica quando il segnale viene campionato a meno del doppio della frequenza più alta presente nel EEG. Il teorema di Nyquist afferma che i tassi di campionamento dovrebbero essere almeno il doppio della frequenza più alta. In realtà la digitalizzazione accurata dei segnali EEG richiede tassi di campionamento ancora più elevati. Commento: distorsione e aliasing possono verificarsi alla frequenza del teorema di Nyquist (vedi teorema di Nyquist, frequenza di campionamento).
7	Alpha band	Frequency band of 8–13 Hz inclusive. Greek letter: α.	Banda alfa	Frequenza compresa nella banda 8-13 Hz. Lettera greca: α.
8	Alpha rhythm	Rhythm at 8–13 Hz inclusive occurring during wakefulness over the posterior regions of the head, generally with maximum amplitudes over the occipital areas. Amplitude varies but is mostly below 50 µV in the adult, but often much higher in children. Best seen with the eyes closed, during physical relaxation and relative mental inactivity. Blocked or attenuated by attention, especially visual, and mental effort. Comment: use of term rhythm must be restricted to those rhythms that fulfill these criteria. Activities in the alpha band which differ from the alpha rhythm as regards their topography and/or reactivity, should either have specific appellations (for instance: the mu rhythm and alpha coma) or should be referred to as rhythms of alpha frequency or alpha activity. (See blocking, attenuation). Synonym: posterior dominant rhythm.	Ritmo alfa	Ritmo compreso tra 8-13 Hz che si presenta durante la veglia sulle regioni posteriori dello scalpo, generalmente con massima ampiezza sulle aree occipitali. L'ampiezza è variabile ma solitamente inferiore a 50 µV nell'adulto, mentre è spesso molto più alta nei bambini. Si osserva meglio ad occhi chiusi, nelle fasi di rilassamento fisico e durante la relativa inattività mentale. Bloccato o attenuato dall'attenzione, soprattutto visiva, e dallo sforzo mentale. Commento: l'uso del termine ritmo alfa deve limitarsi a quei ritmi che soddisfano i criteri sopraenunciati. Le attività con frequenza compresa nella banda alfa che differiscono dal ritmo alfa per topografia e/o tipo di reattività, devono essere indicate con denominazioni specifiche (esempi: ritmo mu e l'alfa coma) o essere chiamate ritmi di frequenza alfa o attività alfa. (Vedi blocco, attenuazione). Sinonimo: ritmo dominante posteriore.
9	Alpha variant rhythms	An EEG rhythm recorded most prominently over the posterior regions of the head that differs in frequency, but resembles in reactivity, the alpha rhythm. Comments: (1) often at a supra- or sub-harmonic of alpha frequency and may occur when no alpha rhythm is visible. (2) Not to be confused with posterior slow waves of youth. (See fast alpha variant rhythm, slow alpha variant rhythm, and posterior slow waves of youth).	Alfa variante	Un ritmo EEG più evidente sulle regioni posteriori dello scalpo che differisce in frequenza rispetto al ritmo alfa, ma presenta lo stesso tipo di reattività. Commenti: (1) spesso costituito da una sovra- o sub-armonica della frequenza alfa. Può presentarsi quando il ritmo alfa non è visibile. (2) da non confondere con le onde lente posteriori della adolescenza. (Vedi variante alfa rapida, variante alfa lenta e onde lente posteriori della adolescenza).
